Informazioni cronologiche,Sesso,Quale è la tua fascia di età ,Vivi a Tricarico?,Hai figli?,Studi o lavori a Tricarico?,Hai (o hai mai avuto) intenzione di lasciare il paese nei prossimi anni?,Lavori o Studi da fuorisede?,Pensi che tornerai stabilmente a vivere a Tricarico?,"Quello che fai fuori*, potresti farlo a Tricarico?  
(*se lavori o studi fuori regione)","Vorresti, se potessi, tornare a vivere stabilmente a Tricarico",In che ambito lavori (o studi)?,Quali sono principalmente le ragioni per cui hai dovuto lasciare Tricarico? (scegli fino a 2 opzioni),Tricarico è un posto tranquillo per metter su famiglia,Chi lavora a Tricarico vive bene ,Tricarico è il posto dove vorrei vivere per sempre,"Tricarico offre tantissime opportunità (lavorative, sociali, di crescita)",Tricarico è un punto nevralgico della Basilicata,A Tricarico sento di poter esprimere tutto il mio potenziale,"Tricarico è (aggettivo positivo) : 
[puoi scegliere al massimo 3 opzioni]","Tricarico è (aggettivo negativo): 
[puoi scegliere al massimo 3 opzioni]","Se fossi il Sindaco della Città e avessi un'ingente somma a disposizione, su cosa investiresti subito? (scegli fino a 2 opzioni)",Quali sono secondo te i punti di forza del paese? (scegli fino a 2 opzioni),Pensi sia più importante:,Pensi sia più importante:,Pensi sia più importante:,Com'è la Tricarico che vorresti?,Come immagini Tricarico tra 10 anni?,Consigli per i candidati sindaci?
2023/05/06 9:36:30 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,2,3,1,5,1,Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Con qualche sorriso in più e meno malignità,Come Calciano di questo passo,Cercare di non buttare via quel poco che è  rimasto
2023/05/06 9:41:01 AM CET,Donna,26-35,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,2,3,1,3,5,Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Che valorizzi quello che ha,Purtroppo morta di questo passo ,Che riescano a terminare il mandato alla scadenza prefissata
2023/05/06 9:49:25 AM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, studio a Tricarico","No, mai",,,,,,,3,3,3,2,3,3,Tranquilla,Noiosa;Spenta,Agricoltura;Intrattenimento,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Più attiva ,Spero più bella,Innovazione 
2023/05/06 9:55:36 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,3,4,3,4,3,Pulita;Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un po' più moderna,Purtroppo sempre uguale con meno gente ,Pensare prima di parlare 
2023/05/06 10:07:44 AM CET,Uomo,36-45,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,5,3,5,1,5,1,Tranquilla,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Una piccola collinetta felice è tranquilla,Un bel paesino lucano dove vivere sereni e tranquilli,Cercare di lavorare per il bene dei cittadini e mettere il paese al primo posto ..
2023/05/06 10:11:30 AM CET,Uomo,26-35,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,2,1,1,1,1,1,Una merda,Sporca;Noiosa;Spenta,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,Popolata da persone intelligenti ,Vuota,"Eliminate la gentaglia che popola Tricarico, ostacolatela, rendetegli la vita difficile "
2023/05/06 10:13:38 AM CET,Donna,36-45,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,3,5,1,5,2,Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Come anni fa. Un paese VIVO, possibilmente senza la cartiveria che si respira oggi. che attiri i turisti, che sfrutti il suo potenziale e che offra tutto quello che può. ","Purtroppo,  ancor più morta di quello che già è. ","Smettetela di pensare a voi stessi, alle vostre tasche, a far del male agli altri, alle faide che avete tra di voi, e pensate al bene del Paese."
2023/05/06 10:25:36 AM CET,Uomo,36-45,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,5,4,4,2,2,1,Pulita;Tranquilla;Viva,Noiosa;Divisa,"Turismo/Cultura;Servizi pubblici (Ville, giardini, ecc...)","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Instagrammabile, capace di attrarre sia turismo che famiglie desiderose di viverci","Non sono ottimista.. la vedo dimezzata in servizi e popolazione
Ma mi piacerebbe tanto vederla piena di famiglie stabili con bambini","Delegate altrimenti sarete un collo di bottiglia
Delegare non significa però abdicare (ossia lasciare la palla ad un altro e fregarsene... ossia non controllare che gli obiettivi vengano raggiunti)"
2023/05/06 10:40:32 AM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,3,3,2,3,3,Pulita;Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Vorrei che a tricarico ci fosse più intraprendenza, più spazio per giovani e bambini. Vorrei che questo paese fosse il posto felice di ognuno di noi. ","A malincuore, la immagino vuota e spenta perché probabilmente ci saranno sempre meno giovani.","Un buon sindaco dovrebbe saper ascoltare la popolazione, capire le sue esigenze e saper affrontare i problemi in modo pratico. Dovrebbe essere innovativo, alternativo e saper interagire con i collaboratori e i cittadini. Dovrebbe avere a cuore il paese e non solamente i propri interessi. Un buon sindaco per essere tale, deve conoscere la ricchezza del nostro paese e valorizzarla come merita."
2023/05/06 10:41:47 AM CET,Donna,> 65,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,4,4,4,3,3,5,Tranquilla;Viva,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più dinamica e pulita,Purtroppo con pochi abitanti ,Creare un clima sereno per poter lavorare bene
2023/05/06 10:48:41 AM CET,Donna,19-25,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,5,5,4,2,3,2,Coesa;Tranquilla;Divertente,Sporca;Noiosa;Spenta,Sviluppo di attività produttive;Turismo/Cultura,"Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più viva,Sempre più simile a Calciano,Investire di più su quello che offre il paese
2023/05/06 10:49:07 AM CET,Uomo,36-45,"Si, ogni giorno",Si,"No, lavoro altrove","No, mai",,,,,,,3,3,5,2,5,5,Coesa;Viva;Ordinata,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Vivibile, viva ",Da visionario un paese attrattivo,Niente promesse ma fatti
2023/05/06 11:12:18 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,2,4,3,1,4,2,Tranquilla,Spenta;Divisa,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Piena di frutta,Una grande masseria,Essere presenti per 
2023/05/06 11:13:53 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,3,3,1,2,2,Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,Innovativa sull’esempio di altre piccole realtà del circondario (vedi Irsina),Spero viva e vegeta,Prendere spunto da altre realtà virtuose 
2023/05/06 11:19:27 AM CET,Uomo,56-65,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,5,5,5,3,3,3,Tranquilla,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Attiva, turistica, moderna ",Più popolosa e dinamica ,Proposte progettuali ad ampio raggio ma puntare su pochi obbiettivi strategici e portarli a termine 
2023/05/06 11:21:58 AM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,5,3,3,2,2,2,Tranquilla,Noiosa;Spenta,Agricoltura;Intrattenimento,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più viva,Peggio di adesso,Cerca di fare del bene per questo paese
2023/05/06 11:28:02 AM CET,Uomo,36-45,"No, da anni vivo altrove",,,,,,,Vorrei e potrei farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Famiglia;Lavoro,3,4,3,2,5,3,Tranquilla,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Agricoltura ,Evitare che i tricaricesi lascino Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Valorizzare il patrimonio culturale e le tradizioni,"Che puntasse sull'imprenditoria giovanile e sull'agricoltura , turismo e tradizione , e soprattutto collegamenti pubblici migliori",Un piccolo paese modello svizzera,"Siamo ormai 4 gatti vedo inutile attaccare la maggioranza o minoranza per qualsiasi cosa, ci vuole una lotta comune per obbiettivi comuni.
Sono certo che sia Pancrazio che Paolo lo sappiano "
2023/05/06 11:40:24 AM CET,Donna,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,4,4,2,1,3,1,Tranquilla,Sporca;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva,Munnez,Fate i fatti non le parole
2023/05/06 11:44:16 AM CET,Donna,19-25,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,3,4,4,1,2,3,Tranquilla;Divertente,Noiosa;Spenta;Divisa,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,A misura di giovane ,Sostenibile e Rinnovata (ottimisticamente),Non fare gli interessi di pochi che si sono già arricchiti 
2023/05/06 12:01:01 PM CET,Uomo,26-35,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,4,3,3,2,2,2,Tranquilla,Spenta,Turismo/Cultura,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Viva ,Come adesso con meno persone ed eventualmente anche meno servizi per il cittadino ,Valorizzare il patrimonio culturale 
2023/05/06 12:12:57 PM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,2,2,1,1,5,1,Tranquilla,Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,viva!,desertica ,più trasporti pubblici 
2023/05/06 12:36:03 PM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,3,4,2,2,4,3,Tranquilla,Spenta,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vorrei una tricarico piena di turisti, piú attiva almeno nel weekend, con più attrattive per i giovani. ",Spenta,"Promuovere iniziative tali da incentivare non solo il turismo ma anche i residenti a restare e partecipare attivamente alla vita del paese. Un buon siindaco inoltre, dovrebbe mettere al primo posto gli interessi della collettività e non i propri. Migliorare i trasporti, aggiungere più collegamenti con altri paesi. "
2023/05/06 1:12:06 PM CET,Uomo,36-45,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,4,3,1,1,3,1,Tranquilla,Sporca;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un'utopia,Davvero un paesello che giace in frantumi,"Potrei dire la solita filastrocca: si augura che abbia a cuore il paese, ma si sa che si va per i propri interessi"
2023/05/06 1:18:45 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Studio fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,2,3,1,1,4,1,Tranquilla,Pericolosa;Noiosa;Divisa,"Servizi pubblici (Ville, giardini, ecc...);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,"Tricarico con persone meno represse, coese ed empatiche, per poi pensare a cosa fare. L'unione fa la forza.",Calciano,Salvate il salvabile.
2023/05/06 1:26:43 PM CET,Donna,36-45,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,4,2,3,1,3,2,Tranquilla,Sporca;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Vivace,Spero non peggiore di adesso,Dare priorità solo all'interesse collettivo 
2023/05/06 1:30:46 PM CET,Donna,56-65,"Si, ogni giorno",Si,"No, lavoro altrove","No, mai",,,,,,,5,5,5,4,5,4,Tranquilla,Sporca;Spenta,"Turismo/Cultura;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Piena di belle famiglie ,"Attiva,piena di giovani che amano e rispettano Tricarico ",Lavorare per il bene del paese 
2023/05/06 1:34:32 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,2,2,3,1,5,1,Tranquilla,Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vorrei che ci fossero piu opportunità per i giovani, che le maldicenze e l'invidia non siano sempre la soluzione giusta.",Come la svizzera!,"Ascoltare l'opinione publica, evitare sprechi di denaro, formare un info point da utilizzare durante le manifestazioni culturali è dove eventualmente pubblicare concorsi, bandi pubblici, agevolazioni ecc.
E infine consiglio di non restare chiusi in comune a discutere ma di guardarsi in torno, perché ci sono paesini con molte meno capacità di noi ma che riescono con semplicità a fare circolare l'economia rendendo partecipe tutto il paese!"
2023/05/06 1:42:27 PM CET,Uomo,46-55,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,1,2,1,1,1,1,Divertente,Sporca;Disordinata,"Infrastrutture (trasporti, strade e collegamenti)",Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attiva e coesa,Spenta,Siate concreti 
2023/05/06 1:50:16 PM CET,Donna,46-55,"Si, ogni giorno",Si,"No, lavoro altrove","No, mai",,,,,,,3,3,5,1,1,1,Tranquilla,Spenta;Divisa;Potrebbe essere un gioiellino ma l orefice giusto non c è ,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Gente unità ,i problemi si devono risolvere insieme  proprio adesso che ci saranno le elezioni e la gente è divisa tra i due candidati , 
 ,,ci sta, l importante è che ci sarà unione nel dopo e non mettersela in quel posto a vicenda e a noi.",Se si continua così  farà una bruttissima fine,"Chiunque venga scelto che faccia il bene 
del  paese, farlo un po' ricresere  e che tutti dicano FINALMENTE"
2023/05/06 1:59:44 PM CET,Donna,46-55,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,5,4,5,2,4,3,Tranquilla,Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,La Tricarico di una volta piena di tutto,Spero meglio di adesso ,Fare il possibile per Tricarico e lavorare insieme con i consiglieri all opposizione 
2023/05/06 2:02:20 PM CET,Uomo,26-35,"Si, ogni giorno",Si,"No, lavoro altrove","No, mai",,,,,,,4,2,5,2,5,3,Tranquilla,Sporca;Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Volta al cambiamento,"Credo che questa tornata elettorale sia decisiva per Tricarico, e voglio augurarmi che da qui a 10 di recuperare la stima in ogni cittadino e la lealtà tra noi tricaricesi , mandando a casa chi ha rovinato e venduto questo paese. Con Pancrazio sindaco immagino una TRICARICO, più competitiva, più attenta , pulita dal marcio che l'opprimeva.","Decisione, lealtà nel fare, progetti."
2023/05/06 2:23:31 PM CET,Donna,26-35,"Si, ogni giorno",No,"Si, lavoro a Tricarico","No, mai",,,,,,,5,4,3,1,1,3,Tranquilla,Sporca;Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Prima di tutto vorrei un paese pulito e curato.
Sistemare e valorizzare il centro storico. Sistemare le strade, cambiare le luci del paese. Mettere più telecamere e più controlli per evitare atti di vantalismo sia per viletta che per monumenti storici. 
Creare infrastrutture,  parcheggi. Mi piacerebbe l'idea di una piscina comunale. 
Bisognerebbe migliorare e creare qualche attrazione nel bosco.
Creare molto più turismo.
Migliorare i servizi dell'ospedale.
Ci sarebbe tanto da scrivere ma mi fermo qua. 
Ma purtroppo se non siamo noi cittadini a prendercene cura non so chi potrebbe farlo. Spero nel bene del paese. 
","In una situazione migliore di questa, perché il nostro è uno dei paesi più belli dove veramente abbiamo tanto. ",Di fare il bene del paese e non i fatti loro. Creare creare e lavorare che c'è tanto da zappare. La strada è lunga e noi siamo veramentente all'estremo. 
2023/05/06 2:40:21 PM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,3,1,1,2,1,Tranquilla,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più serenitá lavorativa e sociale ,Ancora più spenta,Nessuno 
2023/05/06 2:48:07 PM CET,Donna,26-35,"Si, ogni giorno",Si,"No, lavoro altrove","No, mai",,,,,,,5,4,4,3,3,4,Tranquilla,Spenta,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Piena di turisti ,Ripopolata,"Più comizi, meno ""porta a porta"""
2023/05/06 3:07:51 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Privato,Lavoro,3,3,1,1,2,1,Tranquilla,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più unita e con più possibilità lavorative,Meglio che non mi esprimo ,Rispettare i tricaricesi 
2023/05/06 3:44:41 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Privato,Lavoro;Affinità culturale,1,1,1,1,3,3,Andassero a cagare branca di insicuri ,Still Home,La vigna in piazza,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Valorizzare il patrimonio culturale e le tradizioni,Con il mare,Un mega Data Center di Amazon,Fatevi un erasmus
2023/05/06 4:58:37 PM CET,Donna,26-35,"Si, ogni giorno",No,"No, lavoro altrove","No, mai",,,,,,,5,5,5,5,5,1,Tranquilla,Sporca;Spenta;Divisa,Agricoltura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Pulita, valorizzata in ogni suo aspetto ","Spero rinata, come merita",Collaborate per il bene del paese 
2023/05/06 5:15:56 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, studio altrove","No, mai",,,,,,,5,2,5,1,3,2,Tranquilla,Sporca;Spenta;Divisa,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Ripopolata e piena di attività nuove ,Spero migliore di adesso ,FATE QUALCOSA DI NUOVO PER TRICARICO (non rubate soldi😝)
2023/05/06 5:16:11 PM CET,Uomo,36-45,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,1,2,1,3,1,Tranquilla,Sporca;Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,BELLISSMA come un tempo che nn tornerà più ,"Io lo immagino splendente,ma aimé faremo la fine di Calle ",Di pensare ai giovani e soprattutto di nn farli andare via
2023/05/06 6:14:02 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Affinità culturale;Altro,2,3,2,1,3,1,Pulita;Coesa;Tranquilla,Disordinata;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attrattiva e divertente ,Al limite ,Ascolto e audacia 
2023/05/06 6:16:13 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,3,2,1,1,5,1,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Intrattenimento,Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Mentalità aperta ,Non la immagino,Avere un programma elettorale solido e non puntare sul voto delle famiglie
2023/05/06 6:21:56 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,5,3,4,1,3,3,Tranquilla,Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Piena di gente spronata a viverci,Voglio essere positiva e pensare al meglio per il mio paese,Risolleviamo sto paese
2023/05/06 6:22:55 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,4,3,1,1,5,1,Tranquilla,Sporca;Noiosa;Spenta,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,.,.,.
2023/05/06 6:38:31 PM CET,Donna,26-35,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Privato,Lavoro;Affinità culturale,5,2,1,2,3,1,Pulita;Tranquilla,Disordinata;Noiosa;Spenta,Sviluppo di attività produttive;Intrattenimento,"Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Piena di cose da fare e di persone più preparate, un paese più stimolante per tutti","Se continua così male, più spenta e abbandonata che mai ",Mi astengo 
